"method_clean","uncertainty_clean","method_type","1.74M","100K","50K","980K"
"RDS-I","Asymptotic","frequentist","57.7% (CI not available)","57.7% (CI not available)","57.7% (CI not available)","57.7% (CI not available)"
"RDS-II","Bootstrap","frequentist","59.4% (43.4–73.5)","59.4% (43.6–73.3)","59.4% (43.8–73.3)","59.4% (43.5–73.2)"
"RDS-SS","Bootstrap","frequentist","59.4% (43.7–73.5)","59.4% (44.2–74.0)","59.4% (43.8–73.6)","59.4% (43.8–73.5)"
