"method_clean","uncertainty_clean","method_type","1.74M","100K","50K","980K"
"RDS-I","Asymptotic","frequentist","65.2% (CI not available)","65.2% (CI not available)","65.2% (CI not available)","65.2% (CI not available)"
"RDS-II","Bootstrap","frequentist","57.2% (42.0–72.8)","57.2% (42.2–72.8)","57.2% (41.9–72.9)","57.2% (41.8–73.4)"
"RDS-SS","Bootstrap","frequentist","57.2% (42.0–73.2)","57.2% (42.0–72.7)","57.2% (41.7–73.4)","57.2% (42.2–72.7)"
