"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (posteriorsize)","57.2% (42.4–72.3)","57.2% (42.5–72.7)","57.2% (40.9–72.2)","57.2% (42.3–72.8)"
"RDS-II","57.2% (41.7–73.6)","57.2% (41.2–73.0)","57.2% (42.4–73.6)","57.2% (41.8–73.0)"
"RDS-SS","57.2% (42.5–72.8)","57.2% (41.6–72.8)","57.2% (41.7–71.9)","57.2% (41.5–72.5)"
