"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (inverse_degree)","57.2% (46.7–67.7)","57.2% (46.7–67.7)","57.2% (46.7–67.7)","57.2% (46.7–67.7)"
"Model-Assisted (posterior)","60.0% (49.6–70.4)","60.0% (49.6–70.4)","60.0% (49.6–70.4)","60.0% (49.6–70.4)"
"Model-Assisted (visibility)","64.7% (54.5–74.8)","64.7% (54.5–74.8)","64.7% (54.5–74.8)","64.7% (54.5–74.8)"
"RDS-I","65.2% (NA–NA)","65.2% (NA–NA)","65.2% (NA–NA)","65.2% (NA–NA)"
"RDS-II","57.2% (NA–NA)","57.2% (NA–NA)","57.2% (NA–NA)","57.2% (NA–NA)"
"RDS-SS","57.2% (NA–NA)","57.2% (NA–NA)","57.2% (NA–NA)","57.2% (NA–NA)"
