"indicator","pop_size","pop_label","method","method_type","estimate","se","ci_lower","ci_upper","uncertainty_method","error_msg","indicator_clean","method_clean","uncertainty_clean","estimate_pct","ci_lower_pct","ci_upper_pct","se_pct","estimate_with_ci"
"excessive_hours_rds",980000,"980K","RDS_II","frequentist",0.837284529663637,0.056339515276649,0.710627537198421,0.929090390082802,"neighb_bootstrap",NA,"Excessive working hours","RDS-II","Bootstrap",83.7284529663637,71.0627537198421,92.9090390082802,5.6339515276649,"83.7% (71.1–92.9)"
"excessive_hours_rds",1740000,"1.74M","RDS_II","frequentist",0.837284529663637,0.0556479279880627,0.714773709387763,0.929665927848327,"neighb_bootstrap",NA,"Excessive working hours","RDS-II","Bootstrap",83.7284529663637,71.4773709387763,92.9665927848327,5.56479279880627,"83.7% (71.5–93.0)"
"excessive_hours_rds",50000,"50K","RDS_SS","frequentist",0.837284529663637,0.0548998043818861,0.715084480603099,0.930311957516685,"neighb_bootstrap",NA,"Excessive working hours","RDS-SS","Bootstrap",83.7284529663637,71.5084480603099,93.0311957516685,5.48998043818861,"83.7% (71.5–93.0)"
"excessive_hours_rds",1e+05,"100K","RDS_SS","frequentist",0.837284529663637,0.0552109033331133,0.714532259656412,0.92983347912956,"neighb_bootstrap",NA,"Excessive working hours","RDS-SS","Bootstrap",83.7284529663637,71.4532259656412,92.983347912956,5.52109033331134,"83.7% (71.5–93.0)"
"excessive_hours_rds",980000,"980K","RDS_SS","frequentist",0.837284529663637,0.0550155050922475,0.715084184590555,0.92999463491216,"neighb_bootstrap",NA,"Excessive working hours","RDS-SS","Bootstrap",83.7284529663637,71.5084184590555,92.999463491216,5.50155050922475,"83.7% (71.5–93.0)"
"excessive_hours_rds",1740000,"1.74M","RDS_SS","frequentist",0.837284529663637,0.0541734558598138,0.716162132315026,0.92823504846522,"neighb_bootstrap",NA,"Excessive working hours","RDS-SS","Bootstrap",83.7284529663637,71.6162132315026,92.823504846522,5.41734558598138,"83.7% (71.6–92.8)"
"access_to_help_rds",50000,"50K","RDS_I","frequentist",0.577340378591833,0.0648726870616185,0.547206103515455,0.799876826804257,"neighb_bootstrap",NA,"Limited access to help","RDS-I","Bootstrap",57.7340378591833,54.7206103515455,79.9876826804256,6.48726870616185,"57.7% (54.7–80.0)"
"access_to_help_rds",1e+05,"100K","RDS_I","frequentist",0.577340378591833,0.0636100201548377,0.548394353263914,0.798183166259698,"neighb_bootstrap",NA,"Limited access to help","RDS-I","Bootstrap",57.7340378591833,54.8394353263914,79.8183166259698,6.36100201548377,"57.7% (54.8–79.8)"
"access_to_help_rds",980000,"980K","RDS_I","frequentist",0.577340378591833,0.0639557527709761,0.55113228507338,0.802560058526754,"neighb_bootstrap",NA,"Limited access to help","RDS-I","Bootstrap",57.7340378591833,55.113228507338,80.2560058526754,6.39557527709761,"57.7% (55.1–80.3)"
"access_to_help_rds",1740000,"1.74M","RDS_I","frequentist",0.577340378591833,0.0640053058950437,0.548929712475548,0.799618128085562,"neighb_bootstrap",NA,"Limited access to help","RDS-I","Bootstrap",57.7340378591833,54.8929712475548,79.9618128085562,6.40053058950437,"57.7% (54.9–80.0)"
"access_to_help_rds",50000,"50K","RDS_II","frequentist",0.593632888454803,0.0638020606920887,0.551825829902642,0.799792675796592,"neighb_bootstrap",NA,"Limited access to help","RDS-II","Bootstrap",59.3632888454803,55.1825829902642,79.9792675796592,6.38020606920887,"59.4% (55.2–80.0)"
"access_to_help_rds",1e+05,"100K","RDS_II","frequentist",0.593632888454803,0.0643735438752656,0.549135333264575,0.799276764585076,"neighb_bootstrap",NA,"Limited access to help","RDS-II","Bootstrap",59.3632888454803,54.9135333264575,79.9276764585076,6.43735438752656,"59.4% (54.9–79.9)"
"access_to_help_rds",980000,"980K","RDS_II","frequentist",0.593632888454803,0.0647081642454561,0.549901354046221,0.80149557203697,"neighb_bootstrap",NA,"Limited access to help","RDS-II","Bootstrap",59.3632888454803,54.9901354046221,80.149557203697,6.47081642454561,"59.4% (55.0–80.1)"
"access_to_help_rds",1740000,"1.74M","RDS_II","frequentist",0.593632888454803,0.0641170541097149,0.547415147362529,0.799270106528157,"neighb_bootstrap",NA,"Limited access to help","RDS-II","Bootstrap",59.3632888454803,54.741514736253,79.9270106528157,6.41170541097149,"59.4% (54.7–79.9)"
"access_to_help_rds",50000,"50K","RDS_SS","frequentist",0.593632888454803,0.0641404944815036,0.549228124256671,0.800884879045232,"neighb_bootstrap",NA,"Limited access to help","RDS-SS","Bootstrap",59.3632888454803,54.9228124256671,80.0884879045232,6.41404944815036,"59.4% (54.9–80.1)"
"access_to_help_rds",1e+05,"100K","RDS_SS","frequentist",0.593632888454803,0.0641725010909518,0.550919710455996,0.802272089354223,"neighb_bootstrap",NA,"Limited access to help","RDS-SS","Bootstrap",59.3632888454803,55.0919710455996,80.2272089354223,6.41725010909518,"59.4% (55.1–80.2)"
"access_to_help_rds",980000,"980K","RDS_SS","frequentist",0.593632888454803,0.0650638578830714,0.546695827426974,0.801536887366523,"neighb_bootstrap",NA,"Limited access to help","RDS-SS","Bootstrap",59.3632888454803,54.6695827426974,80.1536887366523,6.50638578830714,"59.4% (54.7–80.2)"
"access_to_help_rds",1740000,"1.74M","RDS_SS","frequentist",0.593632888454803,0.0645807186730722,0.548192825799252,0.801460691286755,"neighb_bootstrap",NA,"Limited access to help","RDS-SS","Bootstrap",59.3632888454803,54.8192825799252,80.1460691286755,6.45807186730722,"59.4% (54.8–80.1)"
"pay_issues_rds",50000,"50K","RDS_I","frequentist",0.593007502644538,0.0744280277703834,0.345085197107517,0.634833897154485,"neighb_bootstrap",NA,"Pay-related issues","RDS-I","Bootstrap",59.3007502644538,34.5085197107517,63.4833897154485,7.44280277703834,"59.3% (34.5–63.5)"
"pay_issues_rds",1e+05,"100K","RDS_I","frequentist",0.593007502644538,0.0734931991572454,0.347512924077669,0.629996376175231,"neighb_bootstrap",NA,"Pay-related issues","RDS-I","Bootstrap",59.3007502644538,34.7512924077669,62.9996376175231,7.34931991572454,"59.3% (34.8–63.0)"
"pay_issues_rds",980000,"980K","RDS_I","frequentist",0.593007502644538,0.0752407518340347,0.34227629342602,0.635150264293595,"neighb_bootstrap",NA,"Pay-related issues","RDS-I","Bootstrap",59.3007502644538,34.227629342602,63.5150264293595,7.52407518340347,"59.3% (34.2–63.5)"
"pay_issues_rds",1740000,"1.74M","RDS_I","frequentist",0.593007502644538,0.0760959569266952,0.341647052876774,0.636012747879091,"neighb_bootstrap",NA,"Pay-related issues","RDS-I","Bootstrap",59.3007502644538,34.1647052876774,63.6012747879091,7.60959569266952,"59.3% (34.2–63.6)"
"pay_issues_rds",50000,"50K","RDS_II","frequentist",0.496527013804293,0.0741976963785561,0.347774916993962,0.636452406642529,"neighb_bootstrap",NA,"Pay-related issues","RDS-II","Bootstrap",49.6527013804293,34.7774916993962,63.6452406642529,7.41976963785561,"49.7% (34.8–63.6)"
"pay_issues_rds",1e+05,"100K","RDS_II","frequentist",0.496527013804293,0.0744342004692187,0.351716535675974,0.63407113310261,"neighb_bootstrap",NA,"Pay-related issues","RDS-II","Bootstrap",49.6527013804293,35.1716535675974,63.407113310261,7.44342004692187,"49.7% (35.2–63.4)"
"pay_issues_rds",980000,"980K","RDS_II","frequentist",0.496527013804293,0.0745000456851445,0.345129605622374,0.636091703429707,"neighb_bootstrap",NA,"Pay-related issues","RDS-II","Bootstrap",49.6527013804293,34.5129605622374,63.6091703429707,7.45000456851445,"49.7% (34.5–63.6)"
"pay_issues_rds",1740000,"1.74M","RDS_II","frequentist",0.496527013804293,0.0743406111875337,0.347165979031178,0.63271094526584,"neighb_bootstrap",NA,"Pay-related issues","RDS-II","Bootstrap",49.6527013804293,34.7165979031178,63.271094526584,7.43406111875337,"49.7% (34.7–63.3)"
"pay_issues_rds",50000,"50K","RDS_SS","frequentist",0.496527013804293,0.0752940161819802,0.339922652843065,0.638498681516923,"neighb_bootstrap",NA,"Pay-related issues","RDS-SS","Bootstrap",49.6527013804293,33.9922652843065,63.8498681516923,7.52940161819802,"49.7% (34.0–63.8)"
"pay_issues_rds",1e+05,"100K","RDS_SS","frequentist",0.496527013804293,0.0762356727018798,0.341987012892266,0.641215598413932,"neighb_bootstrap",NA,"Pay-related issues","RDS-SS","Bootstrap",49.6527013804293,34.1987012892266,64.1215598413932,7.62356727018798,"49.7% (34.2–64.1)"
"pay_issues_rds",980000,"980K","RDS_SS","frequentist",0.496527013804293,0.0739858261973378,0.34810244328684,0.634483893961202,"neighb_bootstrap",NA,"Pay-related issues","RDS-SS","Bootstrap",49.6527013804293,34.810244328684,63.4483893961202,7.39858261973378,"49.7% (34.8–63.4)"
"pay_issues_rds",1740000,"1.74M","RDS_SS","frequentist",0.496527013804293,0.0747019241728605,0.34578986746848,0.634598518830316,"neighb_bootstrap",NA,"Pay-related issues","RDS-SS","Bootstrap",49.6527013804293,34.578986746848,63.4598518830316,7.47019241728605,"49.7% (34.6–63.5)"
"threats_abuse_rds",50000,"50K","RDS_I","frequentist",0.652240884240738,0.080069842872723,0.402918091974515,0.717373647036414,"neighb_bootstrap",NA,"Threats and abuse","RDS-I","Bootstrap",65.2240884240738,40.2918091974515,71.7373647036414,8.0069842872723,"65.2% (40.3–71.7)"
"threats_abuse_rds",1e+05,"100K","RDS_I","frequentist",0.652240884240738,0.080801252080451,0.401538894621064,0.720359270851619,"neighb_bootstrap",NA,"Threats and abuse","RDS-I","Bootstrap",65.2240884240738,40.1538894621064,72.0359270851619,8.08012520804509,"65.2% (40.2–72.0)"
"threats_abuse_rds",980000,"980K","RDS_I","frequentist",0.652240884240738,0.0808562921566535,0.404905046109884,0.72138325586446,"neighb_bootstrap",NA,"Threats and abuse","RDS-I","Bootstrap",65.2240884240738,40.4905046109884,72.138325586446,8.08562921566535,"65.2% (40.5–72.1)"
"threats_abuse_rds",1740000,"1.74M","RDS_I","frequentist",0.652240884240738,0.0811838319916049,0.405832848321672,0.721417738766063,"neighb_bootstrap",NA,"Threats and abuse","RDS-I","Bootstrap",65.2240884240738,40.5832848321672,72.1417738766063,8.11838319916049,"65.2% (40.6–72.1)"
"threats_abuse_rds",50000,"50K","RDS_II","frequentist",0.5722487861393,0.0810913008272992,0.403164450312852,0.719814190334632,"neighb_bootstrap",NA,"Threats and abuse","RDS-II","Bootstrap",57.22487861393,40.3164450312852,71.9814190334632,8.10913008272992,"57.2% (40.3–72.0)"
"threats_abuse_rds",1e+05,"100K","RDS_II","frequentist",0.5722487861393,0.0811213309402704,0.405167955843438,0.72059831021986,"neighb_bootstrap",NA,"Threats and abuse","RDS-II","Bootstrap",57.22487861393,40.5167955843438,72.059831021986,8.11213309402704,"57.2% (40.5–72.1)"
"threats_abuse_rds",980000,"980K","RDS_II","frequentist",0.5722487861393,0.0802041674864373,0.40584329746137,0.723726659971538,"neighb_bootstrap",NA,"Threats and abuse","RDS-II","Bootstrap",57.22487861393,40.584329746137,72.3726659971538,8.02041674864373,"57.2% (40.6–72.4)"
"threats_abuse_rds",1740000,"1.74M","RDS_II","frequentist",0.5722487861393,0.0797014802016577,0.403398699273322,0.716335395051114,"neighb_bootstrap",NA,"Threats and abuse","RDS-II","Bootstrap",57.22487861393,40.3398699273322,71.6335395051114,7.97014802016577,"57.2% (40.3–71.6)"
"threats_abuse_rds",50000,"50K","RDS_SS","frequentist",0.5722487861393,0.0813422711658765,0.408947506751678,0.725147043849365,"neighb_bootstrap",NA,"Threats and abuse","RDS-SS","Bootstrap",57.22487861393,40.8947506751678,72.5147043849365,8.13422711658765,"57.2% (40.9–72.5)"
"threats_abuse_rds",1e+05,"100K","RDS_SS","frequentist",0.5722487861393,0.0799652318970557,0.409316827087674,0.720012736371653,"neighb_bootstrap",NA,"Threats and abuse","RDS-SS","Bootstrap",57.22487861393,40.9316827087674,72.0012736371653,7.99652318970557,"57.2% (40.9–72.0)"
"threats_abuse_rds",980000,"980K","RDS_SS","frequentist",0.5722487861393,0.0807220946449758,0.400948977845631,0.722969393819625,"neighb_bootstrap",NA,"Threats and abuse","RDS-SS","Bootstrap",57.22487861393,40.0948977845631,72.2969393819625,8.07220946449758,"57.2% (40.1–72.3)"
"threats_abuse_rds",1740000,"1.74M","RDS_SS","frequentist",0.5722487861393,0.0808283797323694,0.406286208768832,0.726395454080109,"neighb_bootstrap",NA,"Threats and abuse","RDS-SS","Bootstrap",57.22487861393,40.6286208768832,72.6395454080109,8.08283797323694,"57.2% (40.6–72.6)"
