"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (posteriorsize)","49.7% (34.0–66.0)","49.7% (35.6–66.2)","49.7% (34.1–65.0)","49.7% (33.9–64.2)"
"RDS-II","49.7% (33.6–65.8)","49.7% (34.3–65.4)","49.7% (35.4–64.7)","49.7% (34.3–64.0)"
"RDS-SS","49.7% (34.1–64.0)","49.7% (34.2–64.4)","49.7% (34.7–65.0)","49.7% (33.8–65.4)"
