"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (posteriorsize)","83.7% (72.2–93.0)","83.7% (72.0–92.8)","83.7% (72.2–93.5)","83.7% (71.6–93.3)"
"RDS-II","83.7% (71.7–93.6)","83.7% (71.2–93.0)","83.7% (72.2–93.7)","83.7% (72.2–93.5)"
"RDS-SS","83.7% (71.9–93.1)","83.7% (71.2–93.4)","83.7% (72.8–93.8)","83.7% (71.7–93.5)"
