"variable","population_size","weighting_scheme","estimate","prevalence_pct","y_F_H","d_F_F","sample_size"
"document_withholding_nsum",50000,"unweighted",5813.95348837209,11.6279069767442,0.294117647058824,2.52941176470588,85
"document_withholding_nsum",1e+05,"unweighted",5813.95348837209,5.81395348837209,0.294117647058824,5.05882352941176,85
"document_withholding_nsum",980000,"unweighted",5813.95348837209,0.593260560037969,0.294117647058824,49.5764705882353,85
"document_withholding_nsum",1740000,"unweighted",5813.95348837209,0.334135257952419,0.294117647058824,88.0235294117647,85
"pay_issues_nsum",50000,"unweighted",9302.32558139535,18.6046511627907,0.470588235294118,2.52941176470588,85
"pay_issues_nsum",1e+05,"unweighted",9302.32558139535,9.30232558139535,0.470588235294118,5.05882352941176,85
"pay_issues_nsum",980000,"unweighted",9302.32558139535,0.94921689606075,0.470588235294118,49.5764705882353,85
"pay_issues_nsum",1740000,"unweighted",9302.32558139535,0.534616412723871,0.470588235294118,88.0235294117647,85
"threats_abuse_nsum",50000,"unweighted",9302.32558139535,18.6046511627907,0.470588235294118,2.52941176470588,85
"threats_abuse_nsum",1e+05,"unweighted",9302.32558139535,9.30232558139535,0.470588235294118,5.05882352941176,85
"threats_abuse_nsum",980000,"unweighted",9302.32558139535,0.94921689606075,0.470588235294118,49.5764705882353,85
"threats_abuse_nsum",1740000,"unweighted",9302.32558139535,0.534616412723871,0.470588235294118,88.0235294117647,85
"excessive_hours_nsum",50000,"unweighted",10232.5581395349,20.4651162790698,0.517647058823529,2.52941176470588,85
"excessive_hours_nsum",1e+05,"unweighted",10232.5581395349,10.2325581395349,0.517647058823529,5.05882352941176,85
"excessive_hours_nsum",980000,"unweighted",10232.5581395349,1.04413858566683,0.517647058823529,49.5764705882353,85
"excessive_hours_nsum",1740000,"unweighted",10232.5581395349,0.588078053996258,0.517647058823529,88.0235294117647,85
"access_to_help_nsum",50000,"unweighted",7906.97674418605,15.8139534883721,0.4,2.52941176470588,85
"access_to_help_nsum",1e+05,"unweighted",7906.97674418605,7.90697674418605,0.4,5.05882352941176,85
"access_to_help_nsum",980000,"unweighted",7906.97674418605,0.806834361651637,0.4,49.5764705882353,85
"access_to_help_nsum",1740000,"unweighted",7906.97674418605,0.45442395081529,0.4,88.0235294117647,85
"document_withholding_nsum",50000,"rds_I_document_withholding",7483.3859837119,14.9667719674238,0.31618055493768,2.11255009180249,85
"document_withholding_nsum",1e+05,"rds_I_document_withholding",7483.3859837119,7.4833859837119,0.31618055493768,4.22510018360497,85
"document_withholding_nsum",980000,"rds_I_document_withholding",7483.3859837119,0.76361081466448,0.31618055493768,41.4059817993287,85
"document_withholding_nsum",1740000,"rds_I_document_withholding",7483.3859837119,0.430079654236316,0.31618055493768,73.5167431947265,85
"pay_issues_nsum",50000,"rds_I_document_withholding",11017.4143756565,22.0348287513129,0.465496795014382,2.11255009180249,85
"pay_issues_nsum",1e+05,"rds_I_document_withholding",11017.4143756565,11.0174143756565,0.465496795014382,4.22510018360497,85
"pay_issues_nsum",980000,"rds_I_document_withholding",11017.4143756565,1.12422595669964,0.465496795014382,41.4059817993287,85
"pay_issues_nsum",1740000,"rds_I_document_withholding",11017.4143756565,0.63318473423313,0.465496795014382,73.5167431947265,85
"threats_abuse_nsum",50000,"rds_I_document_withholding",11017.4143756565,22.0348287513129,0.465496795014382,2.11255009180249,85
"threats_abuse_nsum",1e+05,"rds_I_document_withholding",11017.4143756565,11.0174143756565,0.465496795014382,4.22510018360497,85
"threats_abuse_nsum",980000,"rds_I_document_withholding",11017.4143756565,1.12422595669964,0.465496795014382,41.4059817993287,85
"threats_abuse_nsum",1740000,"rds_I_document_withholding",11017.4143756565,0.63318473423313,0.465496795014382,73.5167431947265,85
"excessive_hours_nsum",50000,"rds_I_document_withholding",12460.5855268945,24.9211710537889,0.526472221975073,2.11255009180249,85
"excessive_hours_nsum",1e+05,"rds_I_document_withholding",12460.5855268945,12.4605855268945,0.526472221975073,4.22510018360497,85
"excessive_hours_nsum",980000,"rds_I_document_withholding",12460.5855268945,1.27148831907086,0.526472221975073,41.4059817993287,85
"excessive_hours_nsum",1740000,"rds_I_document_withholding",12460.5855268945,0.716125604993935,0.526472221975073,73.5167431947265,85
"access_to_help_nsum",50000,"rds_I_document_withholding",9194.08736247182,18.3881747249436,0.388459402032598,2.11255009180249,85
"access_to_help_nsum",1e+05,"rds_I_document_withholding",9194.08736247182,9.19408736247182,0.388459402032598,4.22510018360497,85
"access_to_help_nsum",980000,"rds_I_document_withholding",9194.08736247182,0.938172179844063,0.388459402032598,41.4059817993287,85
"access_to_help_nsum",1740000,"rds_I_document_withholding",9194.08736247182,0.528395825429415,0.388459402032598,73.5167431947265,85
"document_withholding_nsum",50000,"rds_I_pay_issues",5778.51131665945,11.5570226333189,0.295312816834651,2.55526727085628,85
"document_withholding_nsum",1e+05,"rds_I_pay_issues",5778.51131665945,5.77851131665945,0.295312816834651,5.11053454171257,85
"document_withholding_nsum",980000,"rds_I_pay_issues",5778.51131665945,0.589644011904026,0.295312816834651,50.0832385087832,85
"document_withholding_nsum",1740000,"rds_I_pay_issues",5778.51131665945,0.332098351532152,0.295312816834651,88.9233010257987,85
"pay_issues_nsum",50000,"rds_I_pay_issues",9404.64559016576,18.8092911803315,0.480627661411069,2.55526727085628,85
"pay_issues_nsum",1e+05,"rds_I_pay_issues",9404.64559016576,9.40464559016576,0.480627661411069,5.11053454171257,85
"pay_issues_nsum",980000,"rds_I_pay_issues",9404.64559016576,0.95965771328222,0.480627661411069,50.0832385087832,85
