"method_clean","1.74M","100K","50K","980K"
"RDS-II","36.9% (30.9–44.1)","36.9% (30.5–44.0)","36.9% (30.9–43.9)","36.9% (30.6–43.7)"
"RDS-SS","36.9% (30.5–43.5)","36.9% (30.4–43.5)","36.9% (29.9–43.5)","36.9% (30.9–43.6)"
