"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (inverse_degree)","36.9% (32.1–41.7)","36.9% (32.1–41.7)","36.9% (32.1–41.7)","36.9% (32.1–41.7)"
"Model-Assisted (posterior)","37.5% (32.6–42.4)","37.5% (32.6–42.4)","37.5% (32.6–42.4)","37.5% (32.6–42.4)"
"Model-Assisted (visibility)","37.3% (32.8–41.9)","37.3% (32.8–41.9)","37.3% (32.8–41.9)","37.3% (32.8–41.9)"
"RDS-I","39.8% (NA–NA)","39.8% (NA–NA)","39.8% (NA–NA)","39.8% (NA–NA)"
"RDS-II","36.9% (NA–NA)","36.9% (NA–NA)","36.9% (NA–NA)","36.9% (NA–NA)"
"RDS-SS","36.9% (NA–NA)","36.9% (NA–NA)","36.9% (NA–NA)","36.9% (NA–NA)"
