"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (inverse_degree)","59.4% (48.9–69.8)","59.4% (48.9–69.8)","59.4% (48.9–69.8)","59.4% (48.9–69.8)"
"Model-Assisted (posterior)","57.6% (47.1–68.2)","57.6% (47.1–68.2)","57.6% (47.1–68.2)","57.6% (47.1–68.2)"
"Model-Assisted (visibility)","63.6% (53.3–73.8)","63.6% (53.3–73.8)","63.6% (53.3–73.8)","63.6% (53.3–73.8)"
"RDS-I","57.7% (NA–NA)","57.7% (NA–NA)","57.7% (NA–NA)","57.7% (NA–NA)"
"RDS-II","59.4% (NA–NA)","59.4% (NA–NA)","59.4% (NA–NA)","59.4% (NA–NA)"
"RDS-SS","59.4% (NA–NA)","59.4% (NA–NA)","59.4% (NA–NA)","59.4% (NA–NA)"
