"method_clean","uncertainty_clean","method_type","1.74M","100K","50K","980K"
"posteriorsize()","Bayesian CI","bayesian","57.2% (49.4–65.0)","57.2% (49.5–65.0)","57.2% (49.8–64.6)","57.2% (48.9–65.6)"
"RDS-I","Asymptotic","frequentist","65.2% (CI not available)","65.2% (CI not available)","65.2% (CI not available)","65.2% (CI not available)"
"RDS-II","Bootstrap","frequentist","57.2% (41.9–73.5)","57.2% (42.8–74.1)","57.2% (42.4–72.7)","57.2% (41.5–73.4)"
"RDS-SS","Bootstrap","frequentist","57.2% (41.6–72.9)","57.2% (43.3–71.7)","57.2% (41.9–72.6)","57.2% (42.4–71.6)"
