indicator_name,indicator,confidence_level,scheme,N_F,degree_ratio,true_positive_rate,precision,y_FH,d_FF,basic_estimate,adjusted_estimate,nsum_prevalence,rds_prevalence,rds_estimate,pi_i_mean,pi_i_min,pi_i_max,nsum_rds_ratio,adjustment_impact,n_total,n_valid,n_out_reports,n_rds_positive,error
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.3,0.8,0.24057547402132365,3.045384646115554,77416.81000513962,412889.6533607447,0.42131597281708644,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,1.2303173214882026,5.333333333333334,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.3,0.9,0.24057547402132365,3.045384646115554,77416.81000513962,464500.86003083776,0.47398046941922223,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,1.3841069866742277,6.000000000000001,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.3,1,0.24057547402132365,3.045384646115554,77416.81000513962,516112.0667009308,0.526644966021358,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,1.537896651860253,6.666666666666667,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.4,0.8,0.24057547402132365,3.045384646115554,77416.81000513962,309667.24002055847,0.31598697961281474,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.9227379911161517,4,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.4,0.9,0.24057547402132365,3.045384646115554,77416.81000513962,348375.6450231283,0.3554853520644166,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,1.0380802400056708,4.5,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.4,1,0.24057547402132365,3.045384646115554,77416.81000513962,387084.0500256981,0.39498372451601843,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,1.1534224888951896,5,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.5,0.8,0.24057547402132365,3.045384646115554,77416.81000513962,247733.7920164468,0.25278958369025184,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.7381903928929214,3.2,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.5,0.9,0.24057547402132365,3.045384646115554,77416.81000513962,278700.51601850265,0.2843882816515333,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.8304641920045366,3.6,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.5,1,0.24057547402132365,3.045384646115554,77416.81000513962,309667.24002055847,0.31598697961281474,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.9227379911161517,4,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.6000000000000001,0.8,0.24057547402132365,3.045384646115554,77416.81000513962,206444.82668037232,0.2106579864085432,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.6151586607441012,2.666666666666667,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.6000000000000001,0.9,0.24057547402132365,3.045384646115554,77416.81000513962,232250.43001541885,0.2369902347096111,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.6920534933371137,3,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.6000000000000001,1,0.24057547402132365,3.045384646115554,77416.81000513962,258056.03335046538,0.26332248301067895,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.7689483259301264,3.333333333333333,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.7,0.8,0.24057547402132365,3.045384646115554,77416.81000513962,176952.70858317628,0.18056398835017987,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.5272788520663725,2.285714285714286,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.7,0.9,0.24057547402132365,3.045384646115554,77416.81000513962,199071.79715607333,0.2031344868939524,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.593188708574669,2.5714285714285716,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.7,1,0.24057547402132365,3.045384646115554,77416.81000513962,221190.88572897034,0.22570498543772485,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.6590985650829655,2.857142857142857,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.8,0.8,0.24057547402132365,3.045384646115554,77416.81000513962,154833.62001027924,0.15799348980640737,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.46136899555807587,2,85,85,25,22,NA
document_withholding,document_withholding_rds,highest,ss_980k,980000,0.5,0.8,0.9,0.24057547402132365,3.045384646115554,77416.81000513962,174187.82251156415,0.1777426760322083,0.34244496558616194,335596.0662744387,0.011764705882352938,0.0010905125408942197,0.1145038167938931,0.5190401200028354,2.25,85,85,25,22,NA
