"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (inverse_degree)","49.7% (39.0–60.3)","49.7% (39.0–60.3)","49.7% (39.0–60.3)","49.7% (39.0–60.3)"
"Model-Assisted (posterior)","56.5% (45.9–67.0)","56.5% (45.9–67.0)","56.5% (45.9–67.0)","56.5% (45.9–67.0)"
"Model-Assisted (visibility)","64.8% (54.6–74.9)","64.8% (54.6–74.9)","64.8% (54.6–74.9)","64.8% (54.6–74.9)"
"RDS-I","59.3% (NA–NA)","59.3% (NA–NA)","59.3% (NA–NA)","59.3% (NA–NA)"
"RDS-II","49.7% (NA–NA)","49.7% (NA–NA)","49.7% (NA–NA)","49.7% (NA–NA)"
"RDS-SS","49.7% (NA–NA)","49.7% (NA–NA)","49.7% (NA–NA)","49.7% (NA–NA)"
