indicator_name,indicator,confidence_level,scheme,N_F,y_FH,v_HF,NSUM_estimate,NSUM_prevalence,rds_prevalence,rds_estimate,nsum_rds_ratio,n_total,n_out_reports,n_hidden_visibility,n_rds,nsum_ci_lower,nsum_ci_upper,rds_ci_lower,rds_ci_upper,error
document_withholding,document_withholding_rds,highest,unweighted,50000,25,5.35,4.672897196261682,9.345794392523364e-5,0.25882352941176473,12941.176470588236,3.6108751062022086e-4,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,unweighted,100000,25,5.35,4.672897196261682,4.672897196261682e-5,0.25882352941176473,25882.352941176472,1.8054375531011043e-4,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,unweighted,980000,25,5.35,4.672897196261682,4.768262445164982e-6,0.25882352941176473,253647.05882352943,1.8422832174501066e-5,85,85,20,85,2.375,9.00174418604651,161411.76470588235,345882.3529411765,NA
document_withholding,document_withholding_rds,highest,unweighted,1740000,25,5.35,4.672897196261682,2.6855731012998174e-6,0.25882352941176473,450352.9411764706,1.0376077891385658e-5,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_document_withholding,50000,0.31618055493768027,5.349999999999999,0.05909916914722997,1.1819833829445994e-6,0.4940480703355758,24702.40351677879,2.392446107808401e-6,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_document_withholding,100000,0.31618055493768027,5.349999999999999,0.05909916914722997,5.909916914722997e-7,0.4940480703355758,49404.80703355758,1.1962230539042004e-6,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_document_withholding,980000,0.31618055493768027,5.349999999999999,0.05909916914722997,6.030527464003059e-8,0.4940480703355758,484167.1089288643,1.2206357692900003e-7,85,85,20,85,0.030159429366721485,0.1159784105476462,366720.92531726474,591917.1026903054,NA
document_withholding,document_withholding_rds,highest,rds_I_document_withholding,1740000,0.31618055493768027,5.349999999999999,0.05909916914722997,3.396503973978734e-8,0.4940480703355758,859643.6423839019,6.874845137380462e-8,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_pay_issues,50000,0.2953128168346511,5.438774667841166,0.05429767454437872,1.0859534908875744e-6,0.263667950903119,13183.39754515595,4.118640461110089e-6,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_pay_issues,100000,0.2953128168346511,5.438774667841166,0.05429767454437872,5.429767454437872e-7,0.263667950903119,26366.7950903119,2.0593202305550444e-6,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_pay_issues,980000,0.2953128168346511,5.438774667841166,0.05429767454437872,5.540579035140686e-8,0.263667950903119,258394.59188505664,2.1013471740357597e-7,85,85,20,85,0.02904625722214317,0.11232520536888091,164862.7973808663,346856.4201005788,NA
document_withholding,document_withholding_rds,highest,rds_I_pay_issues,1740000,0.2953128168346511,5.438774667841166,0.05429767454437872,3.1205560082976274e-8,0.263667950903119,458782.23457142705,1.1835173738822095e-7,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_threats_abuse,50000,0.30436095769426225,5.4584665903623435,0.055759424859657916,1.1151884971931583e-6,0.271115502174291,13555.77510871455,4.113333572774608e-6,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_threats_abuse,100000,0.30436095769426225,5.4584665903623435,0.055759424859657916,5.575942485965791e-7,0.271115502174291,27111.5502174291,2.056666786387304e-6,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_threats_abuse,980000,0.30436095769426225,5.4584665903623435,0.055759424859657916,5.6897372305773384e-8,0.271115502174291,265693.19213080517,2.0986395779462285e-7,85,85,20,85,0.02959302985988672,0.11328447299527968,171762.73922365837,359550.29034098913,NA
document_withholding,document_withholding_rds,highest,rds_I_threats_abuse,1740000,0.30436095769426225,5.4584665903623435,0.055759424859657916,3.2045646471067766e-8,0.271115502174291,471740.9737832663,1.1819924059697149e-7,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_excessive_hours,50000,0.314422314267174,5.3500000000000005,0.058770526031247466,1.1754105206249494e-6,0.2915090912593533,14575.454562967665,4.032157335289402e-6,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_excessive_hours,100000,0.314422314267174,5.3500000000000005,0.058770526031247466,5.877052603124747e-7,0.2915090912593533,29150.90912593533,2.016078667644701e-6,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_excessive_hours,980000,0.314422314267174,5.3500000000000005,0.058770526031247466,5.996992452168108e-8,0.2915090912593533,285678.9094341663,2.057223130249695e-7,85,85,20,85,0.031735263518929316,0.11116491618327531,189868.48572168444,386387.88355964556,NA
document_withholding,document_withholding_rds,highest,rds_I_excessive_hours,1740000,0.314422314267174,5.3500000000000005,0.058770526031247466,3.37761643857744e-8,0.2915090912593533,507225.8187912748,1.1586659009452305e-7,85,85,20,85,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_access_to_help,50000,0.2939746543131341,5.349848579824431,0.054950088759854514,1.0990017751970903e-6,0.25883684252946637,12941.842126473319,4.245924824523303e-6,85,85,20,85,NA,NA,NA,NA,NA
