indicator,population_size,seed_selection,point_estimate,ci_lower,ci_upper,se,estimate_with_ci
document_withholding_rds,50000,degree,0.3644843335018216,0.17614171382946334,0.5528269531741798,0.44717304682582015,"36.4% (17.6%, 55.3%)"
document_withholding_rds,50000,random,0.36495994842545937,0.17727939353828218,0.5526405033126366,0.4473594966873634,"36.5% (17.7%, 55.3%)"
document_withholding_rds,50000,sample,0.36495994842545937,0.17727939353828218,0.5526405033126366,0.4473594966873634,"36.5% (17.7%, 55.3%)"
