"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (inverse_degree)","34.2% (24.2–44.3)","34.2% (24.2–44.3)","34.2% (24.2–44.3)","34.2% (24.2–44.3)"
"Model-Assisted (posterior)","25.9% (16.6–35.2)","25.9% (16.6–35.2)","25.9% (16.6–35.2)","25.9% (16.6–35.2)"
"Model-Assisted (visibility)","14.2% (6.8–21.6)","14.2% (6.8–21.6)","14.2% (6.8–21.6)","14.2% (6.8–21.6)"
"RDS-I","49.4% (NA–NA)","49.4% (NA–NA)","49.4% (NA–NA)","49.4% (NA–NA)"
"RDS-II","34.2% (NA–NA)","34.2% (NA–NA)","34.2% (NA–NA)","34.2% (NA–NA)"
"RDS-SS","34.2% (NA–NA)","34.2% (NA–NA)","34.2% (NA–NA)","34.2% (NA–NA)"
