"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (posteriorsize)","34.2% (19.1–50.1)","34.2% (19.7–48.0)","34.2% (19.9–50.7)","34.2% (19.4–49.0)"
"RDS-II","34.2% (19.3–48.9)","34.2% (20.8–49.1)","34.2% (19.6–49.2)","34.2% (19.2–49.8)"
"RDS-SS","34.2% (18.7–49.3)","34.2% (19.6–49.2)","34.2% (19.3–50.0)","34.2% (18.9–48.9)"
