indicator_name,indicator,confidence_level,scheme,N_F,y_FH,d_FF,basic_estimate,basic_prevalence,degree_ratio,true_positive_rate,adjusted_estimate,adjusted_prevalence,rds_prevalence,rds_estimate,empirical_degree_ratio,basic_rds_ratio,adjusted_rds_ratio,n_total,n_out_reports,n_degree,n_hidden,n_rds,basic_ci_lower,basic_ci_upper,adjusted_ci_lower,adjusted_ci_upper,rds_ci_lower,rds_ci_upper,error
document_withholding,document_withholding_rds,highest,unweighted,50000,25,10.75,116279.06976744186,2.3255813953488373,1,1,116279.06976744186,2.3255813953488373,0.25882352941176473,12941.176470588236,0.4976744186046511,8.985200845665961,8.985200845665961,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,unweighted,100000,25,10.75,232558.13953488372,2.3255813953488373,1,1,232558.13953488372,2.3255813953488373,0.25882352941176473,25882.352941176472,0.4976744186046511,8.985200845665961,8.985200845665961,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,unweighted,980000,25,10.75,2279069.7674418604,2.3255813953488373,1,1,2279069.7674418604,2.3255813953488373,0.25882352941176473,253647.05882352943,0.4976744186046511,8.985200845665961,8.985200845665961,85,85,80,20,85,1380731.078328222,3549109.0299684545,1380731.078328222,3549109.0299684545,161411.76470588235,346170.5882352939,NA
document_withholding,document_withholding_rds,highest,unweighted,1740000,25,10.75,4046511.627906977,2.3255813953488373,1,1,4046511.627906977,2.3255813953488373,0.25882352941176473,450352.9411764706,0.4976744186046511,8.985200845665963,8.985200845665963,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_document_withholding,50000,26.87534716970284,9.07653979330714,148048.41812912113,2.9609683625824226,1,1,148048.41812912113,2.9609683625824226,0.49404807033557535,24702.403516778766,0.5894316690976208,5.993279885844359,5.993279885844359,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_document_withholding,100000,26.87534716970284,9.07653979330714,296096.83625824226,2.9609683625824226,1,1,296096.83625824226,2.9609683625824226,0.49404807033557535,49404.80703355753,0.5894316690976208,5.993279885844359,5.993279885844359,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_document_withholding,980000,26.87534716970284,9.07653979330714,2901748.995330774,2.9609683625824226,1,1,2901748.995330774,2.9609683625824226,0.49404807033557535,484167.10892886383,0.5894316690976208,5.993279885844359,5.993279885844359,85,85,80,20,85,1701950.3581593304,4529752.206899449,1701950.3581593304,4529752.206899449,367193.1916683997,591917.1026903058,NA
document_withholding,document_withholding_rds,highest,rds_I_document_withholding,1740000,26.87534716970284,9.07653979330714,5152084.950893415,2.9609683625824226,1,1,5152084.950893415,2.9609683625824226,0.49404807033557535,859643.642383901,0.5894316690976208,5.993279885844359,5.993279885844359,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_pay_issues,50000,25.101589430945346,10.847029892539853,115707.20132434224,2.314144026486845,1,1,115707.20132434224,2.314144026486845,0.26366795090311906,13183.397545155953,0.5014068110554146,8.776736112828303,8.776736112828303,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_pay_issues,100000,25.101589430945346,10.847029892539853,231414.40264868448,2.314144026486845,1,1,231414.40264868448,2.314144026486845,0.26366795090311906,26366.795090311905,0.5014068110554146,8.776736112828303,8.776736112828303,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_pay_issues,980000,25.101589430945346,10.847029892539853,2267861.145957108,2.314144026486845,1,1,2267861.145957108,2.314144026486845,0.26366795090311906,258394.5918850567,0.5014068110554146,8.776736112828303,8.776736112828303,85,85,80,20,85,1326850.1721787339,3574677.838628553,1326850.1721787339,3574677.838628553,168995.15024768838,360593.4215839734,NA
document_withholding,document_withholding_rds,highest,rds_I_pay_issues,1740000,25.101589430945346,10.847029892539853,4026610.60608711,2.314144026486845,1,1,4026610.60608711,2.314144026486845,0.26366795090311906,458782.23457142717,0.5014068110554146,8.776736112828303,8.776736112828303,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_threats_abuse,50000,25.87068140401227,10.886043969376916,118824.99040417265,2.376499808083453,1,1,118824.99040417265,2.376499808083453,0.27111550217429126,13555.775108714563,0.5014187528286063,8.765636007621872,8.765636007621872,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_threats_abuse,100000,25.87068140401227,10.886043969376916,237649.9808083453,2.376499808083453,1,1,237649.9808083453,2.376499808083453,0.27111550217429126,27111.550217429125,0.5014187528286063,8.765636007621872,8.765636007621872,85,85,80,20,85,NA,NA,NA,NA,NA,NA,NA
document_withholding,document_withholding_rds,highest,rds_I_threats_abuse,980000,25.87068140401227,10.886043969376916,2328969.8119217837,2.376499808083453,1,1,2328969.8119217837,2.376499808083453,0.27111550217429126,265693.19213080546,0.5014187528286063,8.765636007621868,8.765636007621868,85,85,80,20,85,1405535.6646209022,3786508.380657349,1405535.6646209022,3786508.380657349,175643.5160589514,361401.7327607929,NA
