"method_clean","uncertainty_clean","method_type","1.74M","100K","50K","980K"
"posteriorsize()","Bayesian CI","bayesian","59.4% (50.7–68.0)","59.4% (51.3–67.5)","59.4% (51.4–67.3)","59.4% (51.2–67.5)"
"RDS-I","Asymptotic","frequentist","57.7% (CI not available)","57.7% (CI not available)","57.7% (CI not available)","57.7% (CI not available)"
"RDS-II","Bootstrap","frequentist","59.4% (43.8–73.6)","59.4% (44.3–73.2)","59.4% (43.5–72.5)","59.4% (44.6–73.9)"
"RDS-SS","Bootstrap","frequentist","59.4% (42.8–73.3)","59.4% (42.7–74.0)","59.4% (44.2–72.9)","59.4% (45.6–73.0)"
