"method_clean","1.74M","100K","50K","980K"
"Model-Assisted (inverse_degree)","83.7% (75.9–91.6)","83.7% (75.9–91.6)","83.7% (75.9–91.6)","83.7% (75.9–91.6)"
"Model-Assisted (posterior)","82.4% (74.2–90.5)","82.4% (74.2–90.5)","82.4% (74.2–90.5)","82.4% (74.2–90.5)"
"Model-Assisted (visibility)","80.7% (72.3–89.1)","80.7% (72.3–89.1)","80.7% (72.3–89.1)","80.7% (72.3–89.1)"
"RDS-I","92.8% (NA–NA)","92.8% (NA–NA)","92.8% (NA–NA)","92.8% (NA–NA)"
"RDS-II","83.7% (NA–NA)","83.7% (NA–NA)","83.7% (NA–NA)","83.7% (NA–NA)"
"RDS-SS","83.7% (NA–NA)","83.7% (NA–NA)","83.7% (NA–NA)","83.7% (NA–NA)"
