"indicator","rds_estimate","nsum_estimate","difference","ratio","rds_estimate_pct","nsum_estimate_pct","difference_pct","confidence_level"
"Excessive working hours",0.837284529663637,0.0232199456776274,-0.81406458398601,0.0277324432196968,83.7284529663637,2.32199456776274,-81.406458398601,NA
"Limited access to help",0.593632888454803,0.0158247490500347,-0.577808139404768,0.0266574668583908,59.3632888454803,1.58247490500347,-57.7808139404768,NA
"Threats and abuse",0.5722487861393,0.0209128317700852,-0.551335954369215,0.0365449997913922,57.22487861393,2.09128317700852,-55.1335954369215,NA
"Pay-related issues",0.496527013804293,0.0223892666816833,-0.474137747122609,0.0450917393399025,49.6527013804293,2.23892666816833,-47.4137747122609,NA
"Document withholding",0.342444965586162,0.0086332292213474,-0.333811736364815,0.0252105596196163,34.2444965586162,0.86332292213474,-33.3811736364815,NA
